neg-F3	neg-F4	neg-M1	neg-M2	pos-F3	pos-F4	pos-M1	pos-M2
ENSMUSG00000040536	12	7	8	16	26	16	14	7
ENSMUSG00000040537	2292	932	944	1711	2401	2728	2307	2347
ENSMUSG00000040540	7	0	8	31	0	0	31	41
ENSMUSG00000040541	0	0	0	0	0	0	0	0
ENSMUSG00000040543	787	115	225	788	849	601	533	703
ENSMUSG00000040548	1110	244	546	1096	1065	1013	1242	1191
ENSMUSG00000040549	1640	857	512	1184	1279	1059	1033	1554
ENSMUSG00000040550	2055	607	630	1569	2511	2351	1749	1777
ENSMUSG00000040552	4	3	20	1	0	9	6	3
ENSMUSG00000040554	32	14	2	24	31	19	14	11
ENSMUSG00000040557	446	377	468	427	374	573	564	469
ENSMUSG00000040560	982	162	391	780	987	993	1159	953
ENSMUSG00000040562	457	388	452	509	671	486	343	420
ENSMUSG00000040563	1116	176	803	845	1011	1076	1364	1015
ENSMUSG00000040564	2	3	1	9	0	7	1	0
ENSMUSG00000040565	419	167	102	425	366	289	246	328
ENSMUSG00000040569	0	0	0	0	0	0	0	1
ENSMUSG00000040570	1323	329	455	1046	1208	1248	1125	1205
ENSMUSG00000040576	0	0	0	0	0	0	0	0
ENSMUSG00000040583	0	0	0	0	0	0	0	0
ENSMUSG00000040584	28	12	17	118	39	119	45	54
ENSMUSG00000040586	906	378	390	611	937	1043	809	789
ENSMUSG00000040591	1534	1106	1045	1370	1410	1214	1075	1170
ENSMUSG00000040592	2	0	52	45	4	6	4	0
ENSMUSG00000040594	167	48	38	126	159	158	124	161
ENSMUSG00000040596	323	92	86	239	249	107	163	249
ENSMUSG00000040599	1045	363	595	1119	1395	1899	1381	1436
ENSMUSG00000040600	9	0	4	0	10	0	3	0
ENSMUSG00000040601	0	0	0	1	0	0	2	1
ENSMUSG00000040605	17171	6387	10114	13328	30013	35759	34323	28134
ENSMUSG00000040606	395	140	164	297	323	163	216	249
ENSMUSG00000040610	1	0	0	1	0	0	0	0
ENSMUSG00000040612	90	145	110	97	247	1474	1128	425
ENSMUSG00000040613	382	156	334	301	508	488	580	335
ENSMUSG00000040614	3	2	1	3	0	1	1	1
ENSMUSG00000040616	1480	818	1063	1214	1242	918	1078	986
ENSMUSG00000040618	3403	882	2154	2916	3151	2407	2821	2727
ENSMUSG00000040620	497	145	207	511	409	320	347	387
ENSMUSG00000040621	272	134	251	251	257	245	207	236
ENSMUSG00000040624	197	149	85	375	65	305	257	103
ENSMUSG00000040627	6	10	8	9	14	84	83	44
ENSMUSG00000040629	0	0	0	0	0	0	0	0
ENSMUSG00000040631	366	87	204	312	143	146	83	68
ENSMUSG00000040632	0	1	5	0	1	2	3	2
ENSMUSG00000040640	548	194	199	324	592	467	325	396
ENSMUSG00000040648	1525	345	548	1186	1459	1337	975	1255
ENSMUSG00000040649	11	21	14	5	1	1	1	0
ENSMUSG00000040650	0	0	0	4	0	1	0	2
ENSMUSG00000040651	824	540	147	610	988	756	495	672
ENSMUSG00000040652	8056	4728	6264	8475	6828	9348	7353	6445
ENSMUSG00000040653	24	28	16	26	15	12	3	11
ENSMUSG00000040657	0	0	0	0	0	1	0	0
ENSMUSG00000040658	255	262	146	185	271	179	120	154
ENSMUSG00000040659	3257	1488	2583	2735	2436	2340	2203	2200
ENSMUSG00000040660	0	0	0	0	0	0	0	0
ENSMUSG00000040661	69	41	18	117	70	54	26	42
ENSMUSG00000040663	14	3	24	9	5	3	3	6
ENSMUSG00000040666	372	421	163	275	268	287	184	228
ENSMUSG00000040667	3762	1687	2020	2672	3606	3554	3194	2870
ENSMUSG00000040669	874	175	439	752	592	410	411	488
ENSMUSG00000040675	2076	433	858	954	2525	1467	2083	2015
ENSMUSG00000040680	8	8	20	21	15	4	15	11
ENSMUSG00000040681	6783	8202	5486	7029	5253	7087	4030	4258
ENSMUSG00000040687	2520	493	1028	2633	2736	2793	3513	3089
ENSMUSG00000040688	1648	540	1238	1298	1901	1632	1957	1644
ENSMUSG00000040690	390	59	251	345	285	858	855	793
ENSMUSG00000040693	0	1	0	0	0	0	0	0
ENSMUSG00000040694	73	35	62	99	65	32	39	27
ENSMUSG00000040697	334	77	155	254	471	266	332	318
ENSMUSG00000040699	2198	1671	1637	1637	1460	1295	1063	1214
ENSMUSG00000040701	451	148	258	453	498	419	316	449
ENSMUSG00000040703	68	20	12	50	192	5	9	52
ENSMUSG00000040705	11	23	3	4	20	1	0	16
ENSMUSG00000040706	1	0	0	0	0	0	0	0
ENSMUSG00000040710	149	17	10	61	2	9	0	2
ENSMUSG00000040711	19	14	40	43	15	24	18	5
ENSMUSG00000040712	1743	268	887	1884	1644	1304	1433	1127
ENSMUSG00000040713	9594	7895	6039	7061	12236	15085	12921	10819
ENSMUSG00000040714	1750	788	1778	1721	1185	1946	1701	1163
ENSMUSG00000040715	536	41	146	338	592	211	475	355
ENSMUSG00000040717	0	20	6	23	3	10	27	9
ENSMUSG00000040720	853	201	438	736	968	799	885	825
ENSMUSG00000040721	918	520	600	1050	1159	1091	833	969
ENSMUSG00000040722	2482	464	1080	1816	2196	1898	2220	1910
ENSMUSG00000040723	223	35	88	123	24	13	8	8
ENSMUSG00000040724	21	3	2	12	18	10	0	0
ENSMUSG00000040725	1642	421	823	1388	1717	1020	1216	1227
ENSMUSG00000040726	0	3	4	6	1	1	5	0
ENSMUSG00000040728	2637	422	1102	2089	3002	2365	2581	2622
ENSMUSG00000040729	309	181	73	264	269	259	228	297
ENSMUSG00000040731	10415	3263	6269	8030	8704	7669	7783	6405
ENSMUSG00000040732	17	4	10	18	6	2	1	3
ENSMUSG00000040734	88	33	117	91	83	124	174	56
ENSMUSG00000040738	1566	560	711	1569	1612	1859	1304	1408
ENSMUSG00000040740	29	34	12	19	30	13	14	15
ENSMUSG00000040746	7315	4002	5886	6759	7233	7579	7073	6533
ENSMUSG00000040747	7	5	131	81	2	3	17	0
ENSMUSG00000040749	419	294	281	439	486	378	295	373
ENSMUSG00000040751	17	6	62	41	13	11	14	10
ENSMUSG00000040752	0	0	0	2	0	0	0	0
ENSMUSG00000040759	7	16	19	26	8	0	0	3
ENSMUSG00000040760	1777	928	785	1212	1386	1463	1305	978
ENSMUSG00000040761	884	357	182	813	1058	505	377	430
ENSMUSG00000040767	314	418	320	311	268	358	277	201
ENSMUSG00000040770	0	0	0	1	0	0	0	0
ENSMUSG00000040771	1649	1625	1352	1757	1610	1613	1342	1437
ENSMUSG00000040774	1365	709	989	1458	1568	1853	1362	1238
ENSMUSG00000040775	0	0	0	0	0	0	0	0
ENSMUSG00000040782	755	209	382	604	767	965	771	693
ENSMUSG00000040785	3142	1618	1001	2572	3892	2226	1810	2298
ENSMUSG00000040794	1179	1559	1208	1115	908	930	880	848
ENSMUSG00000040795	762	561	421	628	654	495	371	546
ENSMUSG00000040797	23	13	12	64	8	2	5	16
ENSMUSG00000040808	58	15	24	13	1	13	8	2
ENSMUSG00000040809	0	0	24	18	0	0	0	1
ENSMUSG00000040811	1138	140	483	833	747	444	200	637
ENSMUSG00000040812	37	35	42	49	35	54	71	80
ENSMUSG00000040813	1930	1322	897	1209	2047	1162	1317	1318
ENSMUSG00000040818	1869	1078	1115	2152	1642	1623	1165	1443
ENSMUSG00000040820	410	86	188	297	461	329	420	489
ENSMUSG00000040822	1346	1264	998	1153	1390	1696	1415	1239
ENSMUSG00000040824	1314	1941	1227	1079	1173	1277	833	910
ENSMUSG00000040828	32	21	41	30	33	47	65	44
ENSMUSG00000040829	43	9	48	57	14	17	25	34
ENSMUSG00000040836	51	9	52	100	33	55	112	68
ENSMUSG00000040838	0	0	0	0	0	0	0	0
ENSMUSG00000040840	2	3	0	3	7	2	10	4
ENSMUSG00000040841	626	140	556	626	628	554	675	530
ENSMUSG00000040842	2300	1266	2061	1950	1582	1915	1672	1540
ENSMUSG00000040843	3254	2945	1983	2813	3414	3529	2978	2531
ENSMUSG00000040848	1596	385	725	1365	1179	1669	1738	1507
ENSMUSG00000040850	1116	422	348	898	1417	1323	966	1165
ENSMUSG00000040852	375	137	224	583	315	296	346	317
ENSMUSG00000040855	196	70	55	202	216	198	178	268
ENSMUSG00000040856	1406	768	1027	614	720	1843	1264	914
ENSMUSG00000040857	37	37	52	80	38	39	19	26
ENSMUSG00000040859	2349	615	1193	1868	2299	1903	2460	2027
ENSMUSG00000040860	527	113	276	442	394	305	321	321
ENSMUSG00000040865	476	445	286	536	542	417	364	352
ENSMUSG00000040866	0	0	0	0	1	0	0	0
ENSMUSG00000040867	12	3	13	31	30	0	5	7
ENSMUSG00000040875	213	30	67	133	302	248	167	217
ENSMUSG00000040877	560	128	285	229	488	468	399	419
ENSMUSG00000040883	1251	1904	1604	1210	1218	2814	2502	1688
ENSMUSG00000040888	685	597	399	442	622	648	764	552
ENSMUSG00000040891	1764	802	1007	1094	1366	1628	1965	1290
ENSMUSG00000040896	13	10	16	16	9	16	0	14
ENSMUSG00000040899	0	0	0	6	0	0	0	0
ENSMUSG00000040901	0	0	0	0	0	0	0	0
ENSMUSG00000040904	235	175	234	176	270	318	232	219
ENSMUSG00000040907	108	44	86	124	123	122	98	43
ENSMUSG00000040913	407	139	176	394	374	238	332	231
ENSMUSG00000040918	383	138	159	278	277	331	257	191
ENSMUSG00000040919	59	33	20	64	42	72	69	41
ENSMUSG00000040928	337	163	209	392	242	308	183	245
ENSMUSG00000040929	511	319	190	631	584	650	526	513
ENSMUSG00000040935	1	1	1	0	0	0	0	0
ENSMUSG00000040936	356	68	112	194	492	129	188	332
ENSMUSG00000040938	1417	728	1260	1128	896	1736	1461	936
ENSMUSG00000040940	2674	682	2065	2587	2233	2351	2909	2303
ENSMUSG00000040943	406	299	136	518	589	474	322	257
ENSMUSG00000040945	4637	976	2538	3409	3230	2503	3469	3364
ENSMUSG00000040950	22	4	27	20	0	1	1	3
ENSMUSG00000040952	5244	7889	5507	4806	4590	6731	4544	4031
ENSMUSG00000040957	566	87	240	450	507	339	515	442
ENSMUSG00000040963	0	0	0	0	0	0	0	0
ENSMUSG00000040964	493	68	391	420	357	447	584	304
ENSMUSG00000040966	18	14	21	18	18	14	12	2
ENSMUSG00000040969	11	4	9	3	14	9	5	9
ENSMUSG00000040972	823	660	916	703	114	80	56	96
ENSMUSG00000040978	115	38	45	56	96	61	36	38
ENSMUSG00000040985	0	3	0	4	4	8	5	4
ENSMUSG00000040987	77	70	58	90	59	108	82	56
ENSMUSG00000040990	2302	595	896	1924	2644	2046	2000	2154
ENSMUSG00000040997	1868	655	1519	1411	1480	887	1057	1023
ENSMUSG00000040998	824	93	182	603	1064	593	704	916
ENSMUSG00000041000	1081	179	810	1122	909	1054	1212	839
ENSMUSG00000041009	0	0	0	0	0	0	0	0
ENSMUSG00000041012	169	216	203	240	33	70	69	55
ENSMUSG00000041014	1	2	0	8	5	4	1	0
ENSMUSG00000041020	661	706	366	388	735	676	832	609
ENSMUSG00000041025	172	103	116	155	114	97	112	140
ENSMUSG00000041028	12385	6142	7486	10763	13120	14292	11552	11724
ENSMUSG00000041035	1519	2150	1550	1309	1189	2173	1626	1377
ENSMUSG00000041037	744	176	449	702	529	615	715	818
ENSMUSG00000041040	882	198	446	928	625	598	561	630
ENSMUSG00000041044	0	0	0	0	0	0	0	0
ENSMUSG00000041046	295	175	269	383	5	1	7	10
ENSMUSG00000041052	0	1	0	2	1	2	0	1
ENSMUSG00000041057	2323	1041	1001	1864	2531	3077	2910	2163
ENSMUSG00000041058	261	229	128	224	286	400	329	266
ENSMUSG00000041062	75	43	56	73	94	79	45	94
ENSMUSG00000041064	2	4	0	1	9	6	6	29
ENSMUSG00000041068	0	0	0	0	0	0	0	0
ENSMUSG00000041073	18	5	3	42	29	8	8	9
ENSMUSG00000041075	238	11	35	143	166	112	56	120
ENSMUSG00000041078	2	1	3	12	7	5	2	3
ENSMUSG00000041079	219	141	179	161	236	223	270	191
ENSMUSG00000041084	16871	15739	11486	14425	18467	20587	14984	16518
ENSMUSG00000041096	3875	1126	2127	3955	3859	4073	3860	3607
ENSMUSG00000041112	987	223	336	670	1036	1045	842	1081
ENSMUSG00000041115	123	64	116	151	142	268	272	187
ENSMUSG00000041117	524	105	490	904	284	232	203	317
ENSMUSG00000041119	99	98	123	116	64	43	48	29
ENSMUSG00000041120	1396	663	1895	1340	792	637	534	691
ENSMUSG00000041124	2103	848	884	1864	2299	1978	1429	1629
ENSMUSG00000041126	2820	3878	2082	2574	1848	1684	1070	1581
ENSMUSG00000041130	987	203	780	1098	874	1005	1183	993
ENSMUSG00000041132	1136	863	930	1283	1008	1876	1967	1305
ENSMUSG00000041133	2129	1169	928	1663	2014	1174	1042	1302
ENSMUSG00000041134	407	119	299	565	26	12	15	18
ENSMUSG00000041135	445	319	277	632	372	519	392	373
ENSMUSG00000041138	0	0	0	0	0	0	0	0
ENSMUSG00000041141	2780	866	876	1318	2839	2224	2916	2318
ENSMUSG00000041143	203	61	167	202	127	211	218	172
ENSMUSG00000041144	6	6	4	11	13	9	20	0
ENSMUSG00000041147	83	82	20	54	131	94	70	21
ENSMUSG00000041153	734	290	434	718	700	641	600	517
ENSMUSG00000041161	190	154	164	176	218	362	387	268
ENSMUSG00000041164	1372	189	705	1126	1229	1122	1161	943
ENSMUSG00000041165	0	3	3	0	2	0	0	0
ENSMUSG00000041168	2511	454	1172	1676	2585	1720	1922	1432
ENSMUSG00000041180	234	116	74	171	147	277	146	102
ENSMUSG00000041187	615	168	459	702	372	381	376	253
ENSMUSG00000041189	64	34	55	62	40	84	77	31
ENSMUSG00000041193	3	0	0	0	1	0	1	1
ENSMUSG00000041199	1261	616	598	878	1191	863	961	933
ENSMUSG00000041202	275	176	203	209	229	346	300	209
ENSMUSG00000041203	2945	3375	3300	2752	3131	3652	3182	2870
ENSMUSG00000041205	4	3	0	2	9	3	0	1
ENSMUSG00000041215	502	118	108	449	267	265	261	312
ENSMUSG00000041216	19	16	15	15	23	67	76	36
ENSMUSG00000041219	24	21	47	92	125	87	124	120
ENSMUSG00000041220	771	337	295	647	773	699	483	531
ENSMUSG00000041225	976	269	370	885	974	1005	798	1025
ENSMUSG00000041229	1248	254	447	956	869	561	871	725
ENSMUSG00000041231	812	451	415	752	1045	885	584	655
ENSMUSG00000041235	1958	685	617	1397	3243	1894	1888	1702
ENSMUSG00000041236	4719	1736	1816	3281	4405	4625	4193	4006
ENSMUSG00000041237	415	147	130	314	236	195	228	198
ENSMUSG00000041238	380	122	136	281	479	384	215	304
ENSMUSG00000041241	1021	519	901	969	884	1376	1499	1215
ENSMUSG00000041245	861	993	479	924	302	247	108	175
ENSMUSG00000041247	16	4	1	2	1	7	3	0
ENSMUSG00000041248	1	0	0	0	0	0	0	2
ENSMUSG00000041255	0	0	0	0	0	2	0	0
ENSMUSG00000041258	238	230	205	350	366	338	228	273
ENSMUSG00000041261	1042	647	666	917	716	1106	785	789
ENSMUSG00000041263	2140	516	1930	1813	2391	2978	3038	2714
ENSMUSG00000041264	1546	440	741	1336	1489	978	1025	993
ENSMUSG00000041268	778	311	266	881	979	868	880	871
ENSMUSG00000041272	2336	1294	1702	1893	1464	2835	2479	1712
ENSMUSG00000041278	2460	2620	2010	2667	1890	3676	2389	2228
ENSMUSG00000041287	1	0	0	0	0	0	0	0
ENSMUSG00000041293	3	3	0	4	10	1	3	1
ENSMUSG00000041297	1292	446	423	917	1511	957	806	758
ENSMUSG00000041298	912	516	390	709	899	870	554	702
ENSMUSG00000041301	2	1	1	9	1	0	1	0
ENSMUSG00000041303	712	237	277	691	751	714	576	610
ENSMUSG00000041308	392	334	130	372	355	298	221	126
ENSMUSG00000041309	6	8	4	5	4	2	0	10
ENSMUSG00000041313	572	268	265	554	773	716	588	533
ENSMUSG00000041319	668	591	385	392	538	553	449	479
ENSMUSG00000041323	30	11	4	21	13	15	6	4
ENSMUSG00000041324	39	16	12	40	89	26	35	64
ENSMUSG00000041328	1023	904	258	848	915	817	525	792
ENSMUSG00000041329	1251	160	1002	1585	567	601	806	678
ENSMUSG00000041333	0	0	0	0	0	0	0	0
ENSMUSG00000041341	501	152	193	547	591	471	417	559
ENSMUSG00000041343	166	106	133	126	119	177	264	265
ENSMUSG00000041346	722	357	523	671	502	682	790	687
ENSMUSG00000041347	3	5	16	0	0	5	1	0
ENSMUSG00000041351	2928	523	2503	3038	2383	2307	3292	2561
ENSMUSG00000041353	404	505	353	342	346	616	379	363
ENSMUSG00000041354	1433	384	932	1245	936	933	1037	821
ENSMUSG00000041355	17576	14651	18386	17343	16999	23880	17389	18331
ENSMUSG00000041358	0	1	0	0	0	0	6	1
ENSMUSG00000041359	0	0	0	0	0	0	0	0
ENSMUSG00000041360	2090	996	936	1595	2005	2180	1809	1630
ENSMUSG00000041361	37	21	39	49	11	15	22	7
ENSMUSG00000041362	808	292	350	781	785	731	650	623
ENSMUSG00000041372	9	4	1	12	6	24	4	13
ENSMUSG00000041375	924	363	513	743	679	637	717	684
ENSMUSG00000041377	0	1	0	0	0	4	3	0
ENSMUSG00000041378	0	12	12	12	3	5	10	1
ENSMUSG00000041380	3	4	1	4	5	1	4	1
ENSMUSG00000041390	39	7	39	70	0	0	4	1
ENSMUSG00000041396	415	341	182	358	600	503	396	421
ENSMUSG00000041399	0	0	0	0	0	0	0	0
ENSMUSG00000041406	27	21	44	41	42	42	23	44
ENSMUSG00000041408	2799	1635	775	1905	3290	2571	1916	1906
ENSMUSG00000041415	1135	569	238	930	1109	771	682	850
ENSMUSG00000041417	846	401	383	797	1037	1309	878	708
ENSMUSG00000041420	2898	1549	1996	2624	2874	2962	2780	2737
ENSMUSG00000041423	26	59	29	88	13	19	11	20
ENSMUSG00000041426	755	535	482	830	800	1193	759	822
ENSMUSG00000041429	105	106	112	118	86	174	134	109
ENSMUSG00000041431	76	35	87	68	178	121	60	190
ENSMUSG00000041438	1599	961	914	1166	1520	2031	1968	1235
ENSMUSG00000041439	1175	349	346	639	1132	966	1118	1104
ENSMUSG00000041440	125	60	41	117	118	162	193	100
ENSMUSG00000041444	439	118	91	537	441	205	187	248
ENSMUSG00000041445	768	113	506	745	26	42	19	25
ENSMUSG00000041449	0	0	4	6	0	0	0	0
ENSMUSG00000041453	1486	1870	1349	1347	1481	1981	1378	1271
ENSMUSG00000041459	1573	1110	842	1644	1699	2089	1360	1440
ENSMUSG00000041460	97	41	41	79	40	78	96	47
ENSMUSG00000041468	0	0	0	1	0	2	0	0
ENSMUSG00000041471	513	271	211	376	512	335	333	317
ENSMUSG00000041476	0	0	0	5	0	0	0	0
ENSMUSG00000041477	1065	486	865	905	928	1385	1030	886
ENSMUSG00000041479	124	34	14	55	15	7	8	6
ENSMUSG00000041481	4	4	15	17	0	5	0	0
ENSMUSG00000041482	86	37	28	84	30	84	26	4
ENSMUSG00000041483	940	353	322	903	1109	962	653	638
ENSMUSG00000041488	1746	871	829	1377	1670	1589	1406	1317
ENSMUSG00000041491	1004	645	382	578	1091	755	817	689
ENSMUSG00000041498	13	23	7	17	22	9	10	7
ENSMUSG00000041505	0	0	0	0	0	0	0	0
ENSMUSG00000041506	752	406	654	759	647	592	526	552
ENSMUSG00000041512	0	0	0	0	0	0	0	0
ENSMUSG00000041515	63	17	133	87	3	4	17	4
ENSMUSG00000041523	0	0	0	0	0	1	0	0
ENSMUSG00000041528	1153	213	726	1168	1246	687	914	961
ENSMUSG00000041530	161	72	109	165	160	119	74	80
ENSMUSG00000041534	0	4	13	12	20	3	9	9
ENSMUSG00000041536	2	0	0	0	0	0	0	0
ENSMUSG00000041538	1	5	32	16	4	2	0	1
ENSMUSG00000041540	254	167	91	266	126	120	86	113
ENSMUSG00000041544	3	7	0	5	7	0	1	0
ENSMUSG00000041548	1090	717	1286	1531	743	853	1020	696
ENSMUSG00000041550	0	0	0	0	0	0	0	1
ENSMUSG00000041552	78	44	20	40	11	11	18	28
ENSMUSG00000041556	1742	813	1486	1554	1569	2018	2408	2179
ENSMUSG00000041559	19	6	2	22	0	0	0	0
ENSMUSG00000041560	3571	2110	3497	3105	3302	3588	3468	3238
ENSMUSG00000041565	0	0	0	1	0	0	0	0
ENSMUSG00000041566	0	0	0	2	11	9	1	13
ENSMUSG00000041567	0	0	0	0	0	0	0	1
ENSMUSG00000041570	406	121	183	612	389	479	557	358
ENSMUSG00000041571	5266	4920	6409	5707	4127	5041	3652	4154
ENSMUSG00000041577	234	32	103	142	3	13	1	0
ENSMUSG00000041578	14	12	2	19	16	24	8	11
ENSMUSG00000041583	0	0	0	0	0	0	0	0
ENSMUSG00000041592	659	141	250	610	914	705	686	827
ENSMUSG00000041594	790	210	271	537	1024	674	752	587
ENSMUSG00000041596	46	8	13	5	12	21	14	17
ENSMUSG00000041598	955	195	650	859	403	322	356	299
ENSMUSG00000041605	423	50	248	286	451	821	653	737
ENSMUSG00000041607	1715	485	795	1353	1748	1254	1663	1247
ENSMUSG00000041608	13768	3225	7415	9039	19104	19997	26117	19475
ENSMUSG00000041609	1021	188	529	908	950	1017	993	850
ENSMUSG00000041616	0	0	0	0	0	0	1	0
ENSMUSG00000041617	10	17	6	2	14	34	3	7
ENSMUSG00000041620	0	0	0	0	0	0	0	0
ENSMUSG00000041623	683	324	531	497	660	505	593	518
ENSMUSG00000041624	18	13	16	5	7	44	10	8
ENSMUSG00000041625	806	528	800	770	1082	951	642	785
ENSMUSG00000041629	2652	2668	1896	2277	2374	2372	2054	1882
ENSMUSG00000041632	940	552	483	547	1075	628	745	678
ENSMUSG00000041633	1550	591	426	1181	1379	1170	813	1149
ENSMUSG00000041638	1317	282	798	1516	1015	1331	1719	1721
ENSMUSG00000041642	99	103	106	119	72	129	159	116
ENSMUSG00000041644	2	4	5	7	8	6	8	7
ENSMUSG00000041645	6344	2627	3613	5041	6854	6882	7893	6122
ENSMUSG00000041649	53	11	0	80	34	12	4	33
ENSMUSG00000041650	1659	537	689	1212	2029	1682	1254	1452
ENSMUSG00000041653	156	110	130	161	206	285	315	254
ENSMUSG00000041654	4541	1805	4833	4400	4044	11481	14133	7952
ENSMUSG00000041658	3956	2613	2977	3976	2287	3022	2261	2010
ENSMUSG00000041660	0	0	0	0	0	0	0	0
ENSMUSG00000041669	0	0	0	5	0	1	0	0
ENSMUSG00000041670	89	54	78	92	93	284	126	196
ENSMUSG00000041671	711	510	431	697	804	1115	743	637
ENSMUSG00000041673	115	33	72	77	77	80	47	16
ENSMUSG00000041674	3	5	1	7	19	5	5	3
ENSMUSG00000041679	278	104	212	161	189	221	241	252
ENSMUSG00000041681	1800981	1664481	2116151	1670314	2399135	5329819	4583201	3085300
ENSMUSG00000041684	650	91	255	547	538	557	482	532
ENSMUSG00000041685	1286	555	495	1188	904	1107	938	809
ENSMUSG00000041688	10	4	16	70	11	24	32	13
ENSMUSG00000041695	62	56	64	118	74	72	44	68
ENSMUSG00000041696	224	66	173	326	3	0	0	35
ENSMUSG00000041697	6978	11110	8647	6551	6871	11155	9433	7162
ENSMUSG00000041698	15	0	4	3	7	4	1	2
ENSMUSG00000041700	0	0	0	1	7	0	0	7
ENSMUSG00000041702	310	305	105	254	303	383	299	265
ENSMUSG00000041703	13	15	2	7	12	7	10	10
ENSMUSG00000041707	0	0	1	0	0	0	0	0
ENSMUSG00000041708	0	0	0	0	0	0	0	0
ENSMUSG00000041710	4	9	0	12	5	12	0	0
ENSMUSG00000041712	1129	361	483	789	1475	1401	1241	1231
ENSMUSG00000041716	827	513	358	690	827	724	687	589
ENSMUSG00000041717	345	398	450	377	341	377	376	251
ENSMUSG00000041718	177	119	52	162	155	130	146	139
ENSMUSG00000041720	2004	440	658	1929	1667	1585	1808	1708
ENSMUSG00000041722	0	0	0	0	0	0	0	0
ENSMUSG00000041729	620	147	815	913	542	432	940	882
ENSMUSG00000041730	1	0	0	1	4	1	0	1
ENSMUSG00000041731	20	16	33	43	22	23	34	28
ENSMUSG00000041733	1123	758	789	1067	1316	1521	1517	1144
ENSMUSG00000041734	31	11	67	60	8	4	3	3
ENSMUSG00000041735	0	0	0	0	0	0	0	0
ENSMUSG00000041736	1401	2235	1376	1484	1006	1642	1373	1002
ENSMUSG00000041737	146	364	325	112	303	2012	1433	539
ENSMUSG00000041740	7319	1833	6033	7837	7803	9939	10662	8022
ENSMUSG00000041741	70	23	12	86	38	54	24	45
ENSMUSG00000041747	793	207	413	704	809	676	532	605
ENSMUSG00000041748	12	4	5	1	26	19	7	7
ENSMUSG00000041750	8	3	12	17	4	0	0	0
ENSMUSG00000041754	0	2	0	4	0	0	0	0
ENSMUSG00000041757	1671	308	789	1581	1448	1415	1287	1273
ENSMUSG00000041762	357	51	66	259	386	241	282	317
ENSMUSG00000041763	2058	564	709	1437	2308	1923	1785	1586
ENSMUSG00000041765	959	531	761	761	1137	1518	1628	980
ENSMUSG00000041769	2288	1486	1925	2287	2188	3529	2712	2064
ENSMUSG00000041771	2	0	2	4	1	0	1	9
ENSMUSG00000041773	48	23	8	82	42	97	32	51
ENSMUSG00000041774	276	137	219	251	315	389	377	322
ENSMUSG00000041775	1568	1104	1135	1578	1377	1185	1020	1081
ENSMUSG00000041777	471	491	478	585	284	638	471	400
ENSMUSG00000041779	88	198	167	215	123	57	162	69
ENSMUSG00000041781	811	285	312	639	963	727	589	613
ENSMUSG00000041782	721	79	309	368	606	455	503	551
ENSMUSG00000041789	0	0	0	0	0	0	0	1
ENSMUSG00000041791	0	0	0	0	0	0	0	0
ENSMUSG00000041794	140	34	94	170	147	123	163	187
ENSMUSG00000041797	6	5	27	48	0	25	19	9
ENSMUSG00000041798	4049	807	2071	3041	4422	3123	2995	3197
ENSMUSG00000041801	546	569	902	613	299	624	616	383
ENSMUSG00000041805	0	0	0	0	0	0	0	0
ENSMUSG00000041809	712	279	486	740	605	557	501	511
ENSMUSG00000041815	4854	836	3104	3820	4226	3746	3531	3670
ENSMUSG00000041817	567	139	244	472	555	679	443	527
ENSMUSG00000041827	67	25	6	47	29	7	37	30
ENSMUSG00000041828	146	48	72	141	0	2	0	13
ENSMUSG00000041831	70	66	60	99	89	117	117	147
ENSMUSG00000041836	12	17	36	24	2	3	0	2
ENSMUSG00000041837	925	246	516	611	804	583	415	545
ENSMUSG00000041840	352	548	429	408	341	611	415	362
ENSMUSG00000041841	517	698	487	424	443	677	492	393
ENSMUSG00000041842	559	50	102	204	922	370	502	414
ENSMUSG00000041845	77	62	95	55	39	146	165	49
ENSMUSG00000041846	1884	483	1035	2043	1739	1694	1296	1433
ENSMUSG00000041849	371	56	126	241	290	278	261	279
ENSMUSG00000041852	116	88	49	156	115	74	75	91
ENSMUSG00000041857	0	0	0	5	0	0	0	0
ENSMUSG00000041859	238	46	132	167	238	116	78	245
ENSMUSG00000041870	2496	492	1610	1916	2345	1642	1888	1872
ENSMUSG00000041872	0	0	0	0	0	0	0	0
ENSMUSG00000041878	123	101	60	95	133	76	57	53
ENSMUSG00000041879	2785	474	1260	2556	2482	2329	2319	2372
ENSMUSG00000041881	4216	6944	3939	3650	3581	5494	3717	3459
ENSMUSG00000041885	0	0	0	0	0	0	0	0
ENSMUSG00000041886	3	1	7	0	2	0	0	0
ENSMUSG00000041889	60	98	73	110	104	103	154	66
ENSMUSG00000041890	570	170	255	511	353	256	296	299
ENSMUSG00000041891	29364	15676	14298	20993	33484	52095	51038	40329
ENSMUSG00000041895	1464	774	997	1186	2090	2826	3805	2280
ENSMUSG00000041907	89	40	52	81	136	107	107	125
ENSMUSG00000041911	9	0	0	0	10	4	0	0
ENSMUSG00000041912	951	682	562	819	859	1373	795	734
ENSMUSG00000041915	634	354	374	686	737	553	633	459
ENSMUSG00000041920	369	172	363	382	741	988	1266	777
ENSMUSG00000041921	810	691	563	993	927	895	904	673
ENSMUSG00000041923	1882	416	599	1565	1853	728	739	1121
ENSMUSG00000041926	2572	928	1973	2187	2788	2663	3136	2676
